"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.46855603602973e-05,2.36462373815268,0.286,0.063,0.396405605956198,"8","chd2"
9.32046520620729e-05,1.98977532898954,0.286,0.065,0.826818468442649,"8","pde4d"
0.000694373996510244,1.94168104078849,0.286,0.079,1,"8","nav3"
1.51465410643642e-148,7.540724915301,1,0.007,1.34364965781974e-144,"9","LOC102689644"
5.61999810540733e-118,8.03668240996341,0.889,0.008,4.98550031930684e-114,"9","LOC102685466"
6.75221660237053e-105,9.2997168157972,0.333,0,5.9898913479629e-101,"9","LOC102691822"
6.25627046842426e-89,6.2997168157972,0.889,0.012,5.54993753253916e-85,"9","tpm4a"
5.20457112663922e-70,7.20018114224629,0.667,0.008,4.61697504644166e-66,"9","LOC102695483"
4.21850936762646e-25,5.01960889660447,0.556,0.021,3.74223966002143e-21,"9","LOC102683036"
3.63051435722146e-22,4.90739939301844,0.556,0.025,3.22062928629115e-18,"9","myl4"
3.53071277749505e-20,5.4923618937396,0.333,0.009,3.13209530491586e-16,"9","pdgfc"
3.53071277749505e-20,5.4923618937396,0.333,0.009,3.13209530491586e-16,"9","itga9"
3.53071277749505e-20,5.4923618937396,0.333,0.009,3.13209530491586e-16,"9","fam171a2a"
4.49132446220895e-20,4.5045366076857,0.889,0.077,3.98425393042556e-16,"9","flncb"
